Buffer,Time
1,0.000047
2,0.000002
4,0.000003
8,0.000002
16,0.000001
32,0.000001
64,0.000002
128,0.000002
256,0.000008
512,0.000008
1024,0.000004
2048,0.000003
4096,0.000038
8192,0.000033
16384,0.000030
32768,0.000057
65536,0.000116
131072,0.000169
262144,0.000194
524288,0.000381
1048576,0.000754
2097152,0.001467
4194304,0.003085
8388608,0.008787
